date,text,stars
6/6/2023,"The Cupid broken, when I looked on the camera the delivery person did not place it he dropped it on the ground",1 out of 5 stars review
5/27/2023,"Received with a broken straw and black marks that could not be removed even when I washed it, marks  looks worse In person then in photo",1 out of 5 stars review
11/1/2023,The top of the tumbler cup was covered in dust. The tumbler was scratched toward the bottom and the paint was scrubbed off. There were little spots on the tumbler. Did not bring it back because I am at home ill. But I am very disappointed that this cup was picked for me or that it would be sent to any customer in this condition .,1 out of 5 stars review
1/11/2024,"So it says it's 40oz but it only holds 1 20oz water bottle and less than half of another water bottle. So I would like 26 oz maybe.  If I could return it, I would.  Also, it doesn't keep my water cold, ice melts fairly quickly.",1 out of 5 stars review
1/22/2024,Order took longer than it should have. The straw was not included as described. If I use a regular straw it's much too short. Highly aggravated. I need the straw that comes with the tumbler,1 out of 5 stars review
9/22/2023,"This cup did not last 2 months and the ice did not last the night. I went back to my cheaper cup. The lid had a very high lip around the perimeter, and the 2 areas that the opening stopped after screwed on were not in easy access to the handle. I threw this cup away. i recommend not buying.",1 out of 5 stars review
10/14/2023,"I was so excited to receive this item then so let down when it didn't keep my ice til even lunchtime. I had to keep refilling it with ice multiple times throughout the day which is not something I have the ability to do, so, sadly, this cup sits on the shelf at home not being used.",1 out of 5 stars review
8/7/2023,I purchased 3 of these cups mid April back when they were $15. 3 mth later These cups no longer keep drinks cold at all. The ice melts within hr or so. I'm not sure I shld be disappointed seeing I only paid $15 but every penny counts now days. I was a big fan of ozark cups %26 they were my go to when the yeti came out but I will just have to spend the extra $20 %26 purchase the name brand. Happy I wanted to do a review so I cld give a honest feedback.,1 out of 5 stars review
3/30/2023,"Terrible at keeping ice! The only thing this cup has going for it is the appearance (at least the rainbow cup). I’ve been wanting an affordable tumbler that is stainless steel and can fit in my cup holder in my truck. I saw this on someone’s Instagram and picked up three of these cups. I put ice to the TOP and add cold water, the ice is melted only a few hours later. Don’t waste your money on these like I did, I am returning the other 2 cups that still have tags and will use that money for a more expensive brand that can actually keep drinks cold.",1 out of 5 stars review
8/19/2023,"Poorly made, I bought two and the handle came off of both of them with minimal use, one while holding it. After screwing the handle back on twice and it falling apart again, I shoved them on a closet in disappointment and haven't touched them since. I had high hopes of using these while traveling this summer,",1 out of 5 stars review
11/24/2023,"I didn't like the screw on top makes it very difficult to keep a straw, and when you put ice in the mug, I gave it away to my granddaughter she was thrilled to have it",1 out of 5 stars review
11/19/2023,Ordered for my pregnant wife bc she was asked to up her water in take by her OB. It's pictured with a straw but didn't come with one. I picked one with a straw so it would be easier for her if she was reclined or laying down resting.,1 out of 5 stars review
12/7/2023,the old style i had the ice lasted over a day. i only got this one because i loved the purple color. this does not hold the ice well at ALL!!! size/ ounce is nice. color is stylish. crappy insulation...or lack there of,1 out of 5 stars review
12/14/2023,These would have been great tumblers had the correct straws been with them.  I ended up having to return them back to the store and order online to get the correct straws.,1 out of 5 stars review
12/22/2023,It's sad that with Walmart they guarantee you a delivery and then send you a notification. It'll be three or four more days late from when they say when they say overnight. They don't mean overnight. They mean in three or four days,1 out of 5 stars review
12/26/2023,"My 40-ounce Ozark Trail cup is not keeping ice in my drink or my drink cold for even 12 hours. I am really disappointed, as I have some of the 32-ounce tumblers that work great.",1 out of 5 stars review
3/25/2023,"Wanted to love it, but the lid arrived with a huge chunk missing out of it. This had to have happened before it was packed because the missing chunk wasn't in the box and the box arrived with no damage.",1 out of 5 stars review
1/16/2024,mug came and is missing the straw. how can this be missed? no stores near me even carry the navy to exchange. ridiculous,1 out of 5 stars review
1/18/2024,Didn't look like the picture. Received a dirty white tumbler with a broken clear/white straw instead of black.,1 out of 5 stars review
1/8/2024,I was disappointed by this Ozark Trail product. The handle came off my tumbler in less than 2 weeks after purchase.,1 out of 5 stars review
8/22/2023,"Had less than month and the handle broke, it was loosened quickly after getting. original one I had got water inside and couldn't get it out. Not a fan.",1 out of 5 stars review
10/13/2023,"great tumbler,  ice kept water cold well over 24 hrs .  after i had opened the package i noticed a dent about the size of a quarter on the side of it.",1 out of 5 stars review
9/30/2023,"The tumbler arrived damaged, and was purchased for a gift. The tumbler was not wrapped in any type of packaging to keep it from getting damaged during delivery.",1 out of 5 stars review
8/27/2023,"the handle broke after a week. never used it in the dishwasher. loved the cup. so cute. heavy weight and seemed good , unles i was holding it and the whole thing snapped right off",1 out of 5 stars review
7/29/2023,I have purchased 3 of these because they fit in my car and all three have been defective. The first arrived with a cracked lid. The second a dent on the side and the third without a straw. Walmart needs to get it together.,1 out of 5 stars review
7/10/2023,The cup was shipped to me and did not come with a straw. Called customer service and they said they would mail me a straw and the straw never came. The lid is also hard to get on and off.,1 out of 5 stars review
9/4/2023,I love this cup but after having it a little over a month the handle has come unattached from the cup at the top. Making the handle useless and the cup inconvenient without the handle.,1 out of 5 stars review
4/11/2023,"Sweats and doesnt stay cold as long as other tumblers.  I usually like the Ozarka tumblers, but this one is way off my expectations.  It does not hold ice as well as the others and the cup sweats. I was going to use it with epoxy to decorate it but I can't because of the condensation.",1 out of 5 stars review
6/25/2023,Loved this cup at  first but shortly after buying and using it I realized how tough it was to open. This resulted in the handle breaking off while attempting to open it to fill it up. However it kept my water cold and the straw itself was really nice.,1 out of 5 stars review
4/10/2023,"I really wanted to like this. Not only did walmart mess up my order multiple times causing me to have to cancel and reorder TWICE, but when it finally did arrive the bottom had such big dents that it wouldn't even stand up on it's own. I carried it around from 6pm to 11pm ONE day and the color is already worn off on every edge and groove. It's like the color coat is chalky and just rubs off with barely and friction. I really wanted this to be a decent cheap alternative to the Stanley tumblers.",1 out of 5 stars review
2/15/2024,"it was returned bc i received a used tumbler! gross! 
i can't give 0 stars",1 out of 5 stars review
2/12/2024,The item was delivered at the wrong address,1 out of 5 stars review
2/16/2024,returned to store straw was not in cup,1 out of 5 stars review
1/26/2024,The cup started falling apart straight out the box,1 out of 5 stars review
2/14/2024,I ordered two cups and only got one,1 out of 5 stars review
2/22/2024,Will not buy again . Straw is half plastic half rubber,1 out of 5 stars review
1/29/2024,arrived with a dent in it and several black fingerprint smudges.,1 out of 5 stars review
2/13/2024,tips over to easy...doesn't keep anytime cold,1 out of 5 stars review
1/27/2024,Still waiting for delivery...shipping is terrible!,1 out of 5 stars review
1/31/2024,i can't review something that i never received but was Charged for it,1 out of 5 stars review
4/6/2023,"After reading reviews I thought we’d give this Ozark tumbler a try for our 11yo daughter. After washing it and filling with ice/water, I started screwing on the lid while holding what appeared to be a sturdy handle. It loosened up right away and then fell completely off side of cup. Super disappointing bc the rest of tumbler looks great. Ozark def needs to figure out a better way to attaching the handle to the cup especially for how large the cup is. Do t waste your time just go with a Stanley or Yeti and skip the hassle.",1 out of 5 stars review
11/11/2023,it was never delivered to me but to someone else so someone got a free cup if i could give 0 stars i would,1 out of 5 stars review
11/24/2023,The cup only lasted 30 days before the handle fell off and the straw had complications. Should have just bought a Stanley.,1 out of 5 stars review
12/17/2023,"The cup arrived not in the original packaging, I know this because I have ordered multiple and they come in a box. The cup is all scratched up.",1 out of 5 stars review
12/1/2023,i was very disappointed in the straw. instead of putting a linger straw in the cup they added a rubber piece to the straw.,1 out of 5 stars review
11/27/2023,When I picked it up it is dented on the side and the handle is loose. I now have to return it and buy another one.,1 out of 5 stars review
12/12/2023,i DISLIKE EVERYTHING ABOUT WAL-FARTS DELIVERYS AND THE CUSTOMER SERVICE IS VERY BAD AND RUDE!!!!!!  :-((,1 out of 5 stars review
7/31/2023,I love my cup but my cup is discolored. Looks dirty. I have washed by hand. Very disappointed.,1 out of 5 stars review
1/4/2024,Missing lid and straw from container.,1 out of 5 stars review
12/28/2023,my order was delivered to another house,1 out of 5 stars review
1/6/2024,horrible the cup sweats and nothing stays cold,1 out of 5 stars review
1/11/2024,Love the color but the cup itself didn't stay cold for more than an hour,1 out of 5 stars review
12/29/2023,Cup came scratched and dented.,1 out of 5 stars review
1/19/2024,Cup was extremely scratched up dented up when received.,1 out of 5 stars review
1/3/2024,my cup had a dent in the bottom so it doesn't sut flat and the handle was loose.,1 out of 5 stars review
1/9/2024,It doesn't keep your ice cold!,1 out of 5 stars review
3/10/2023,Does not even keep ice in it for 2 hours. Have lots of ozark cups I love but this one is not what it claims,1 out of 5 stars review
7/24/2023,The bottle always was difficult to open but now it unusable you can't even open it to use it don't buy,1 out of 5 stars review
9/20/2023,"The handle falls off, you screw it back on, it falls off again. This need a better handle, mines in the trash.",1 out of 5 stars review
8/8/2023,"The handle broke off within a few days of owning this, and it never once went through the dishwasher I hand washed it every time",1 out of 5 stars review
8/21/2023,It was missing a straw. Now if I want to return it I have to bring it into the store. I got it through grocery pick up.,1 out of 5 stars review
8/24/2023,Ordered online and the handle was broken off.  Can't speak to how cold or hot it keeps things as I didn't keep it.,1 out of 5 stars review
7/23/2023,Ordered to pick up at the store and it was delivered to me already broke the lid. I returned immediately.,1 out of 5 stars review
7/9/2023,The handle broke off within a couple weeks :( so sad it's a perfect “dupe” to the Stanley- wish it would t have broken so easily!,1 out of 5 stars review
8/7/2023,"I loved the cup, but within the first two weeks the handle came off causing me to drop it and then the top cracked so now it's not usable.",1 out of 5 stars review
7/20/2023,"The cups itself is fantastic, however obviously the straw was missing so the straw that was out into the cup is definitely the worst.",1 out of 5 stars review
10/12/2023,Don't recommend this cop at all It's top heavy falls over the straw gets moldy with simple ice water after having it in the cup for 2 days,1 out of 5 stars review
4/7/2023,Terrible quality.  The handle broke off within 24 hours of owning it.  I was simply holding the handle while unscrewing the lid... and it broke right off.  So frustrating and disappointing.  I do not recommend,1 out of 5 stars review
4/15/2023,My handle broke off at one week !!!!! I could tell it wasn’t sturdy abets time I was holding it while twisting the cap ! Pretty colors - I got the gradient one. Walmart refunded me but now I have handle-less Lol,1 out of 5 stars review
5/8/2023,"I loved the cup, however, the handle is weak.  The handle was the deciding factor for this purchase.  If the handle is important to you take this into consideration.",1 out of 5 stars review
12/27/2023,it did not hold ice for very long,1 out of 5 stars review
12/18/2023,Tons of scratches on this cup when I picked up from online order,1 out of 5 stars review
11/26/2023,Coating extremely thin. Nicks and tiny bubbles,1 out of 5 stars review
12/19/2023,I did not receive a straw with my cup and had to purchase it y,1 out of 5 stars review
12/18/2023,There were scratches all over the cup when I picked it up from online order,1 out of 5 stars review
11/26/2023,Finish extremely thin and tiny bubbles,1 out of 5 stars review
11/12/2023,the cup came with no handle. it must of broke off...,1 out of 5 stars review
11/21/2023,says delivered never received,1 out of 5 stars review
12/23/2023,Walmart gave us the cup in the pick up dented and missing a straw.,1 out of 5 stars review
12/24/2023,Never got my package FedEx delivered it to wrong place!!!!!,1 out of 5 stars review
11/22/2023,"Very heavy, I'm returning it",1 out of 5 stars review
12/11/2023,The straw was bent weird and cup was scratched,1 out of 5 stars review
12/2/2023,The handle broke off after only a couple weeks,1 out of 5 stars review
11/9/2023,I ordered the Gradiant color and was sent a Purple Tumbler.,1 out of 5 stars review
12/24/2023,Never got a straw cup seems good,1 out of 5 stars review
5/6/2023,This ripped off and broke just putting the lid on.,1 out of 5 stars review
3/30/2023,So disappointed in store delicered item.,1 out of 5 stars review
7/13/2023,The handle was broken having to return it,1 out of 5 stars review
10/25/2023,Didn't come with a straw and top of cup handle broke in a couple of weeks. Very disappointed.,1 out of 5 stars review
9/7/2023,Handle broke way too easily. Loved the cup until this issue!,1 out of 5 stars review
8/4/2023,"Lovwd this at first. However, the handle 6 after couple weeks of use. Returning.",1 out of 5 stars review
10/27/2023,The handle broke off very quickly.,1 out of 5 stars review
7/6/2023,was delivered without a handle,1 out of 5 stars review
7/14/2023,this is way too big and heavy. the straw is also too big.,1 out of 5 stars review
7/6/2023,Disappointed! My handle broke OFF! 🙄,1 out of 5 stars review
7/30/2023,its been exactly 32 days since purchse and maybe 2-3 use a week and the handle broke!,1 out of 5 stars review
7/8/2023,Handle broke after just a couple of months.,1 out of 5 stars review
10/6/2023,Handle was broken upon arrival,1 out of 5 stars review
9/26/2023,The cup itself is good and can hold ice for a few hours but it arrived broken,1 out of 5 stars review
9/26/2023,The handle was completely broken,1 out of 5 stars review
7/29/2023,The lid breaks easily if dropped. The straw don't work,1 out of 5 stars review
8/12/2023,"Looks nice, but handle broke off after a couple of days.",1 out of 5 stars review
7/21/2023,Dont waste your money. Handle broke off after only 3 months.,1 out of 5 stars review
10/7/2023,Received with a lose handle and a greasy film on the tumbler,1 out of 5 stars review
7/21/2023,It arrived broken. I'm disabled and have no way to return it to the store,1 out of 5 stars review
7/22/2023,I loved this cup but the handle broke after a few weeks of use.,1 out of 5 stars review
8/9/2023,Used this twice and the handle broke. Taking back for a refund.,1 out of 5 stars review
10/18/2023,Cup did NOT come with straw.,1 out of 5 stars review
9/15/2023,"lid is impossible to twist off, broke after 1 week",1 out of 5 stars review
8/8/2023,I bought 2. One handle broke immediately and the other 2 moths later.,1 out of 5 stars review
7/12/2023,Handle broke off after two eeeks,1 out of 5 stars review
9/13/2023,it is really difficult getting the top off.,1 out of 5 stars review
9/12/2023,"Straw is not solid plastic, it's silicone.",1 out of 5 stars review
8/12/2023,My cup didn't have a straw,1 out of 5 stars review
7/4/2023,"I got my 40 ounce cup, but I didn't get the 40 ounce straw to my cup",1 out of 5 stars review
8/28/2023,the handle fell off the first week,1 out of 5 stars review
7/28/2023,With normal use the handle broke off.,1 out of 5 stars review
8/30/2023,"top leaks constantly, not good for travel.",1 out of 5 stars review
8/12/2023,the handle broke after 4 uses,1 out of 5 stars review
7/13/2023,Handle broke after 1 week of use. Only took it to the office and back. Not worth the $$,1 out of 5 stars review
9/16/2023,Spills a lot if it's tipped over,1 out of 5 stars review
8/24/2023,After a while the inside went to rusting,1 out of 5 stars review
7/17/2023,Handle broke off after just a week of use,1 out of 5 stars review
9/18/2023,The handle already has broken off,1 out of 5 stars review
7/2/2023,Handle broke off in first month.,1 out of 5 stars review
9/28/2023,"I received my order incomplete
Without the straw",1 out of 5 stars review
8/25/2023,love the cup just wish my handle didnt fall off,1 out of 5 stars review
10/2/2023,doesn't hold ice and top heavy,1 out of 5 stars review
5/31/2023,I have had this cup for less than a month and the handle has already broken off and I have had to super glue it back on.,1 out of 5 stars review
3/3/2023,I was super excited for this purple ozark. Shipping was fast. However it arrived dented and chipped. Super bummed.,1 out of 5 stars review
4/19/2023,Arrived with broken handle,1 out of 5 stars review
6/25/2023,Handle is plastic and moves back and forth. Not sturdy. Received with a large dent in the bottom,1 out of 5 stars review
5/23/2023,Like the cup but the lid is really hard to get off and on.,1 out of 5 stars review
5/12/2023,It doesn't keep my drink cold for that long,1 out of 5 stars review
5/27/2023,The handle is broken and I want my money back. What do I need to do ??,1 out of 5 stars review
5/11/2023,The top is so hard to twist to open and close,1 out of 5 stars review
5/14/2023,The handle broke within two hours of having it,1 out of 5 stars review
6/22/2023,It does not keep ice very cold. Plus the lid is the hardest thing to get on and off.,1 out of 5 stars review
4/14/2023,Handle broke off while I was carrying it up the stairs after having it for 3 days.,1 out of 5 stars review
6/27/2023,Ice melted almost immediately,1 out of 5 stars review
5/14/2023,It's nice and big but it came with a dent in the bottom of it.,1 out of 5 stars review
6/26/2023,This cup arrived with scratches and does not keep ice.,1 out of 5 stars review
6/27/2023,"Handle is loose, will not last long.",1 out of 5 stars review
6/30/2023,it doesn't keep ice at all,1 out of 5 stars review
5/26/2023,Broke after 2 weeks. Finally just bought the real Stanley,1 out of 5 stars review
1/4/2024,"I tested this cup in the house with the air conditioning against my other cups..yeti, stanley, RTIC and an Amazon special. My ice was completely water within two hours in this cup. It's lightweight and inexpensive, but if you want something to keep your drink cold for longer than a couple of hours at most, this isn't the one.",1 out of 5 stars review
1/23/2024,"The cup leaks.  I set the cup in my passenger seat as I was preparing to crank up my car and hit it by accident.  The cup fell over on its side and I saw it was leaking from the top.  I picked it up and checked the straw and lid (it was screwed in correctly) and when I turned it sideways and upside down, water was gushing out.   i am looking for a contact number to replace as I am hoping the one I purchased was defective.",1 out of 5 stars review
1/17/2024,"I typically love this brand. the cup itself is great.  it insulates well. However, the handle weld broke within just a few uses. I replaced it with the Tag brand.  The design of the handle is much more stable and for nearly the same price as this one.",1 out of 5 stars review
1/8/2024,"Cup was great for the first few months, but after everyday use as my tumbler I picked it up off the table and the handle came off !!!! The cup was not dropped or damaged prior to this so beware!",1 out of 5 stars review
9/10/2023,"Behave this tumbler for 3 weeks, I hate it.  Since the 2nd use the lid has not fit properly. It's always been hand washed, I never dropped it, nothing. As the days went by, Lis became impossible to get off, handle is half falling off and NOW the lid is completely stuck on. I am a very fit person, so is my husband, neither of us can get the lid of. Total waste, now I have to buy a new Tumbler. Should have just spent the $45 on a quality mug instead of the Walmart rip off.",1 out of 5 stars review
10/9/2023,"I was loving this. It keeps things cold just as well as my Yeti and the screw on top is easy. Since it's 40 ounces, I can take it in the car and have cold water all day.

Unfortunately, in under two months of use, I just picked it up and the handle snapped off….leaving me with the handle in my hand and my tumbler rolling around on the floor.
It's too big for me to carry without a handle, so it's useless now.",1 out of 5 stars review
7/22/2023,I loved this cup at first. Less expensive than the Stanley cup but it's definitely not the same quality. The handle on my cup broke off while I was twisting off the lid. The cup is useless now. I don't have the receipt or the label so I can't return it.,1 out of 5 stars review
4/7/2023,Don't buy. Handle broke off in less than 3 days. Super disappointed,1 out of 5 stars review
1/31/2024,While this item was great.. it did not last long.. the handle fell off at the bottom after 6 months of moderate use..,1 out of 5 stars review
11/5/2023,Literally every single time I go to refill this cup it takes me at least 15 minutes to open it. I am going to be buying another brand and throwing this one away.,1 out of 5 stars review
10/30/2023,"The lid got stuck and would not come off, three days after I bought it. We had to throw it out because no matter what we did the lid wouldnt come off. Waste of money.",1 out of 5 stars review
11/19/2023,"Bought 3 of these,  two for me and one for my sons girlfriend... the handle snapped off on BOTH of mine... not a bargain when they fall apart... very disappointed...",1 out of 5 stars review
9/19/2023,I've had other Ozark Trail tumblers and this one does not hold up to those! This one doesn't hold ice like the others I have and once the ice is melted my water stay cold much longer.,1 out of 5 stars review
8/16/2023,The tumbler is very nice and holds ice all day.  My only complaint is the straw.  It is soft and feels funny when I use it.  I've tried to find a replacement but none of them fit and seals completely.,1 out of 5 stars review
7/28/2023,Not happy with handle! It felt loose and you can't tighten it. Only had it a few weeks and the handle snapped off. Not happy. Walmart would not exchange it.,1 out of 5 stars review
10/16/2023,"My handle only lasted about 30 days before it completely broke off, the plastic tip on the straw, splits and breaks. I loved using it until these things broke.",1 out of 5 stars review
7/18/2023,Paid cash. Tossed receipt. Got home and found that someone at the store had dropped it. Small dent in the bottom but enough that it wobbles badly. Very fragile. Not what i would call durable.,1 out of 5 stars review
9/26/2023,I only used it for water and found a scratch inside the cup. Got a refund and ordered another purple one. It had the same scratch inside it. Returned it as well. So the scratch is from the manufacturing process. Sad because I really liked it.,1 out of 5 stars review
7/28/2023,Overpriced $20 is too much $15 is the right price for this especially with the handle that always breaks. Inflation is supposedly going down but this went up….,1 out of 5 stars review
4/24/2023,I was really looking forward to this cup.  Figured it would be a cheap alternative to the $50 Stanley ones.   I do find the handle to be sturdy and makes it easy to carry around.   First negative is the tumbler already has a scratch on it and I've only used it 2-4 times and handwash it only.   Biggest thing I am disappointed with is it doesn't hold the ice for that long.   I had a 32 oz ozark trail and it would literally keep ice in it and cold til next day.   This one melts in a few hours.   So although it did save me money initially.  Wish I wouldn't have got it!,1 out of 5 stars review
2/4/2024,Lid was broken when I received it. Ended up returning it.,1 out of 5 stars review
2/13/2024,It came broken and with the straw missing.,1 out of 5 stars review
1/30/2024,Handle literally fell off while carrying it.  I didn't drop or break.  Wouldn't suggest.,1 out of 5 stars review
11/8/2023,Returned because the bottom 3/4 of the straw is hard plastic and the top 1/4 is flexible rubber. Very strange.,1 out of 5 stars review
11/28/2023,Lid broke and they don't sell replacement lids! My favorite cup and can't use anymore because they don't see just the lid.,1 out of 5 stars review
1/9/2024,Handle broke after 2nd use!,1 out of 5 stars review
1/10/2024,I never received this item. It was canceled. Have a 1 because I had to give a rating.,1 out of 5 stars review
1/10/2024,These were shipped 3 to a huge box with no packing arrived damged.,1 out of 5 stars review
10/3/2023,The cup fell off my porch and ended up with a HUGE dent in the side of it. None of my other name brand cups are very did that.,1 out of 5 stars review
6/6/2023,I bought this is the store and had this cup for 1 week and the handle broke and when I went to return the very rude  employee and manager were  really rude and said they can't take it back because it had a lot of “wear and tear”. Don't buy this !!!,1 out of 5 stars review
12/12/2023,the handle fell off 2 days after purchase!,1 out of 5 stars review
11/24/2023,My handle broke off after only a couple months,1 out of 5 stars review
11/18/2023,the cup does not stand without being wobbaly the bottom boes out,1 out of 5 stars review
12/11/2023,had it one day and it dent on the bottom and now it wont sit still when you set it down.,1 out of 5 stars review
10/30/2023,the handle unwelded after a few months.,1 out of 5 stars review
11/27/2023,Paint is peeling off from the top making it pretty ugly,1 out of 5 stars review
11/28/2023,Handle broke off after 3 uses!,1 out of 5 stars review
9/28/2023,handle fell off within a month,1 out of 5 stars review
10/20/2023,Handle broke after a few months of use,1 out of 5 stars review
8/28/2023,nice but they lied about it being spill proof,1 out of 5 stars review
9/22/2023,Doesn't keep anything cold for long sadly.,1 out of 5 stars review
8/3/2023,i like the handle on it but i hate that the ice doesn't last long at all.,1 out of 5 stars review
9/12/2023,handle fell off within two weeks,1 out of 5 stars review
9/2/2023,Had to return both cups we bought because the handles broke on both of them. Poor quality.,1 out of 5 stars review
10/4/2023,Loved it until the handle broke off.,1 out of 5 stars review
6/27/2023,It only lasted a few weeks and I just came back to buy another and the price increased $6 in 4 weeks!! Not worth it for this cheap junk.,1 out of 5 stars review
6/14/2023,Ice melts in less then 3 hours. The label says up to 25 hours but does not even come close. Dont waste your money.,1 out of 5 stars review
3/11/2023,"I bought this cup last night at my local Walmart and love it at first. In less than 12 hours of purchase, the top attachment came loose and I can't get it to reconnect. You can use the handle on the cup at all.",1 out of 5 stars review
4/11/2023,This is the worst insulated cup I have ever owned.    The ice will not keep in this cup longer than 3/4 hrs.    Guess you get what you pay for but total waste of money!,1 out of 5 stars review
6/19/2023,"these do not hold ice at all. melted in a short period of time, does not last all day.",1 out of 5 stars review
4/16/2023,the handle is cheap and broke within the first 2 days of use,1 out of 5 stars review
3/22/2023,Why advertise these when they’re none available??,1 out of 5 stars review
