,date,text,sent
68,7/16/2023,"What a waste of time, now I have to go to the store to retuned. My one star is not because of the actual tv. I have a Vizio and I really like it. 

This is not a 50” tv like this says, once you take it out and measure it is about 45”. I have one the size but I didn’t remember what size it was cause I got it a long time ago. So if you want something that is a actually 50” get the 55”, if you want a 60” get the 65”. They all are probably gonna be 5” less in size. Now I’m returning this one and getting a bigger one.",0
69,6/28/2023,"Do not recommend. I had this TV for an about a year when these random horizontal lines appeared one day after a software update. Present day (1 year and 3 months since purchase), the lines have taken over the entire screen (photo attached). Luckily, I purchased the warranty so I’m getting a refund (only for the TV, taxes not included) but I am highly disappointed. Also found out when contacting customer service for Vizio that there is a recall for this TV. Buyer beware!",0
70,12/29/2023,My TV was delivered damaged. Who do I call?,0
71,9/20/2023,TV CRACKED WHEN WE DECIDED TO PUT IT UP!!!!!,0
72,1/10/2024,The TV arrived damaged. I initiated a refund request.,0
73,9/6/2023,My TV was delivered earlier broken. Just getting home to address this issue,0
74,7/17/2023,"It came broken in this corner, I'm going to return it.",0
75,10/13/2023,I opened my tv brand new out the box to see it was broken,0
76,8/27/2023,I've had this tv for two months and there is a red line going through the screen,0
77,8/27/2023,My tv came all destroyed.,0
78,10/11/2022,I've had this TV for 4 months and its already broken!!! The screen turned black!!! I want a full refund or a replacement,0
79,12/29/2022,"This TV is damaged and defective within 1 year. This was purchased February 2022, and was not used till March 2022. The picture is messed up.",0
80,2/24/2023,I bought this tv april 3 2022 has been a year it’s not feb 24 2023 tv has horizontal lines going through it don’t not buy this tv,0
81,4/24/2023,"The box was opened and banged up, I spoke to someone yesterday and set up today for fed ex to pick it up and they haven’t as of yet",0
82,11/7/2023,Tv broke after one month.,0
83,11/14/2023,I didn't get a remote to my tv I'm kind of sad,0
84,11/18/2023,When i open the box the tv was bend on one side side,0
85,11/14/2023,Tv came broke and cracked,0
86,3/6/2022,Terrible buy!! I'm super bummed!! I love Vizio and have never had any problems!!  Now I get this one we're super excited!! And glitches so bad you can't even watch the tv and it just turns off!! Don't buy!!! Waste of your money!!!,0
87,12/21/2023,The tv not working,0
88,12/23/2022,have not had it even a year and there are lines all over screen with out being damaged.,0
89,1/21/2023,Tv came broken and the box was heavily damaged. Customer service rep had a attitude when I called.,0
90,10/11/2022,Box was completely damaged and tv was shattered. I was so upset,0
91,11/22/2022,"This tv went black, I can’t use it . It’s no picture and hasn’t even been a year",0
92,5/28/2022,Purchased the TV and left it up right inside and everything was cracked,0
93,9/15/2023,The screen is crack and was not seen until plugging it in,0
94,9/30/2023,Stains on the screen and issues with casting.,0
95,8/24/2023,"If you like watching/flipping local channels using the antenna input, you may want to look elsewhere. VIZIO has removed this option through rolling automatic updates and replaced it with their Watchfree interface. Unlike any other TV you have ever owned, you can not simply view local channels over the air via antenna input. You are forced to use their sluggish, laggy, and inefficient guide - alternative you can scroll channels up/down if you want to wait several seconds between channels and with no channel number/info displayed, and frequent spinning wheels. It's worse than a hotel TV. Also worth mentioning - you have no ability to remove or block apps that are factory installed on your TV - and there are a lot of them. There is little if a...",0
96,1/18/2024,"The sound makes a wavy going from audible to inaudible if you try the Bluetooth feature with 'any' bluetooth item. When an infrared sound cord is used, sound will work to that item like the Dish DVR box, but Bluetooth is inoperable %26 will not give solid audible sound but that waving in %26 out warped sound. The audio electrical panel component of this TV was made incorrectly. There is also no auxiliary 3.5 plug option on the TV which would've made this lengthy learning about the system situation go much easier. It's really too bad because it's such a good idea to have all these sound features named available but they are not actually available-one thing or another shuts out Bluetooth ability to even work. I have spent more time tinkering ...",0
97,3/13/2022,"Picture went out after 4 months. Vizio claimed through a picture we sent, that the screen must have been hit by something. That wasn't true.",0
98,11/28/2023,The tv arrived damaged,0
99,2/12/2024,"I have had a few Vizio TV's, and this one has been the worse purchase of them all.  I purchased this tv less than 2 years ago, have only used it only a handful of times, and the picture is completely out. For as little as this tv has been used, there is absolutely no reason for it to have any issues whatsoever, let alone no picture. Very disappointing and I would not recommend!",0
100,1/27/2024,"Please do not buy this tv. It burnt our wall, caused a plastic melting smell, and it's hot to touch. It's not safe and I wouldn't recommend this tv to anyone. Vizio customer service is a joke. I called them multiple times to get a solution and they pushed it off on the distributor. They were not helpful",0
101,2/7/2024,"i purchased this TV because I heard Vizio was a good brand, however after less than 6 months of ownership the TV started having connectivity issues and I would get a purple issue screen. I called Vizio at least a half a dozen times and they would ""trouble shoot"" it. Eventually they sent a repair man out to change the motherboard, I asked the repair man if there were a lot of reports of this issue and he said that there were. After the motherboard swap it still continued to have the same diconnect issue so Inproceeded to call the service center. I finlly got them to send me a refurbished Vizio TV which arrived last Friday and low and behold, tonight, I get the same issue. save your self the headache, frustration and countless calls to Vizio ...",0
102,11/22/2023,I just plugged the tv in and it is damaged…this is how I am starting my holiday with a damaged tv,0
103,5/28/2023,Worked less than a week before the screen started to get lines all through it.,0
104,6/21/2023,came out broken from a corner,0
105,5/31/2023,The tv came with a screen issue,0
106,4/6/2023,"Ordered a brand new tv, was sent one from a 3rd party refurbished/used missing power cord, manual, and screws. Tried to get help on issue, told to wait 48 hours, no one called back or emailed. When calling in to Walmart again told they responded to Walmart not me and offered $35. VERY disappointed. Waited an hour and a half on the phone between 5 different people to be told to wait another 48 hours to get a refund from the 3rd party, and if they don't contact me to call back in for Walmart's amazing phone help system again.",0
107,8/14/2023,Tv is broke,0
108,3/4/2023,if it would let me I would of did no stars I can not believe what my camera caught on camera the lady hit just about every stair and then slammed it on the ground and i have the   video and it was a 65 inch Tv i am very upset with how she treated someone stuff and act like it was ok for her to do that to me should care about her job and FedEx name not act like its this day over with,0
109,8/24/2023,Broken !!!,0
110,8/18/2023,Broken,0
111,6/30/2023,Screen is broken,0
112,8/4/2023,Not worth it,0
113,9/17/2023,It was crushed,0
114,7/23/2023,Tv was damage,0
115,5/4/2023,"What is the driver thinking when you are delivering to a BUSINESS address, the business is clearly CLOSED since it was after 6:00PM.  And the driver leaves TWO 55"" LED TV'S AT THE FRONT DOOR IN THE RAIN.  Brilliant.....
And no discernment on the part of the driver that it just might be a good idea to reschedule the delivery??  Someone in corporate needs to get out in the trenches and see what is really happening!!!!",0
116,1/9/2024,"What can I say? This TV only lasted 13 months. Screen randomly went black yesterday. I had my old TV for 10 years and sold it for $50. It was still working great.

Decided to “upgrade” and this thing couldn't even make it 2 years. Vizio couldn't care less. They did nothing. Based on how long this product lasted and based on Vizio's response, I do not recommend you purchase Visio products. There's another company that makes quality products and their stand behind their products.

I will contact Walmart to see if there is anything they can do and I will update this review accordingly.",0
117,12/29/2023,Please don’t waste your money. I have been a long time customer of Vizio but unfortunately every 2-3 years the TVs stop connecting to the internet and streaming is impossible. I have 2 Vizios that stopped working recently. One from 2015 the other from 2021 😠. I cant believe I continue to waste my money on Vizio. The warranty is only 1 year and after that your on your own. Horrible TV. Buying a different brand. Do not waste your money.,0
118,8/26/2023,"If I could give a negative star, I would!!! This tv has awful quality! It keeps lagging, doesn't have a lot of apps to download like other tvs do. Even when I try to connect soemthing on my hdmi it won't let me click on the input or it won't even work. I've had this tv for less than a month and I've had to turn it off and unplug it sooo many times!!! So disappointed and I would never buy this brand again!!!",0
119,9/13/2023,"i will stay away from vizio products now.  netflix app makes the tv crash, unable to even load netflix, all other apps work but no netflix.  ""Watchfree"" app keeps taking over local channels and it takes forever to load... i beleive vizio updated their prodcuts and it only ended up being worse. i tried factory resetting tv, still get a black screen when netflix tries to load... i might of just gotten a bad batch... who knows",0
120,11/14/2021,Half of the TV screen stopped working properly in 3 months of purchase with relative minimum daily use.,0
121,3/20/2023,I got this tv delivered and never opened it until today and the screen is broken. Never even been pluggged in. Don’t trust Walmart,0
122,1/31/2024,"2 years later, almost to the day i bought it, it started to glitch out. It has stripes all through it. i have to get a new one and it will not be this one.",0
123,10/8/2022,"I’m not able to watch my TV. The apps aren’t working, I can’t cast from my iPad, and the screen is blank or does some weird Poltergeist thing as shown in the picture I attached. I’ve only had this TV for three months. I’ll never buy another Vizio.",0
124,1/27/2024,I bought this TV in 2021. It has sat in the same place since I bought it about 6 months ago the first line showed up on the screen and now they're everywhere. How does that even happen? Dont buy it.,0
125,12/14/2023,NEVER SHOP AT THE 1901 Tchoupitoulas Walmart . The scammed me out 400$ by having the wrong tv in the box for purchase %26 I couldn't return because the serial numbers don't match . The customer service were rude . Not help at all trying to resolve my issue,0
126,12/2/2023,"so, i came here to write my honest review after having this tv for 1 yr 6 mo so far.  Up until now, the tv was great! i have this in my room,  BUT today has been flickering with green and purple lines, very annoying and DISSAPPOINTED! that this tv didn't even last me 2 years! 

so no, i DO NOT recommend this tv... go with another brand,especially if the tv won't last you longterm....",0
127,12/10/2023,"Less than a year of use and it has white vertical lines entirely across the screen. I have tried all ofcthe regular fixes and nothing works.I cant find the receipt, i guess I am out of luck because walmart cant look it up on-line or in store and the company requires it.",0
128,12/23/2023,"I bought the 43 inch tv had for 6 months . Screen turned white with big black line on left side. Spoke to 3 different reps sent pics. They wanted to put a hold on my credit card to send out replaced reconditioned tv. They sent out the tv it was melted on the left console side and would get hot to touch. I call back sent pictures. Wanted  a refund at this time . They refused going to send out another reconditioned one. I'm 65 years old I'm having to box up and take both tv back to ups alone. Still don't have a tv , this customer service department is terrible to deal with. Can't take it to Walmart it's been 6 months you must deal with manufacturer. Please read the warranty on any Vizio tv you give up all your right of any damages that the tv...",0
129,4/12/2023,After only having a couple months some horizontal lines appeared. Worse over time and on orange/pink screens. Now at a year it flickers. Wish I would have bought something else.,0
130,2/6/2024,"I would Not recommend having any electronics delivered from Wal-Mart. This is the second 50"" TV that I've had delivered within the past couple of years that they're damaged upon coming out of the box. This time the screen was completely shattered! Now the hassle of maneuvering to fit into my small car %26 back to the store, which is why I wanted it delivered in the first place as to not have this headache. There is an option to have it picked up but I'm not too sure if the TV  could survive the delivery trip back to the store looking at what it looked like upon arrival...",0
131,2/20/2024,never received it  FedEx dropped it off who knows where but not at my house  and cannot get anywhere where with FedEx or seller or Walmart to find wher there dropped it off at show a picture of house I've never seen before it not mine very disappointed,0
132,2/16/2024,I purchased a 65” Vizio flatscreen.. The tv came and the box was beat up. I opened the box and the tv was used.. had no cord or remote… The tv had scratches on the bottom. I returned it to Walmart in store. They initially did not want to take it back but they ended up doing so. I have still yet to reach anyone about getting a refund on my protection plan..,0
133,2/13/2024,ordered tv was supposed to be delivered next day. the other items we ordered were delivered but not the tv. store says it was delivered so only conclusion I can come to is that the driver kept the tv. we called the 1-800 number and they told us we had a package being delivered by fedex but when we received it it was only granola bars. called walmart and they said we received it with the rest of the groceries that were delivered the day after we placed the order but could not show us a picture of it being delivered. finally was able to get a ONE TIME refund. only will use in home delivery from now on where an actual employee delivers products.,0
134,6/25/2023,It was broken,0
135,2/17/2024,"Shipment supposedly arrived while I was sitting on porch.  FedEx has access to a Great invisibility cloak, so good they avoided my Ring doorbell.  Walmart says I must wait two days, it might show up.  FedEx says my address wasn't on shipping label.  Seller (scammer) conveniently does not answer phone and has no message on answering service.  I'm happy Walmart protects their consumers that trust our purchases are from them and only them.",0
136,2/4/2024,"The TV keeps shutting off by itself.  You will be watching a show and it will kick you right back out to the home screen. sometimes it takes hours before it works again, I would never buy this model again.  The sound in the TV is terrible.  i have to have it up to 100(highest) just to hear it from less that 4 feet away.  this is the worst purchase i have ever made.",0
137,2/20/2024,Buyer Beware Ordered a TV and Tv mount only delivery was Mount no explanation no one could assist was told to request refund and reorder. No one would answer phone in the Delivery dept and Driver closed out ticket knowing order was not the complete order. Spoke to 7 different Customer Service reps and not one took accountability. All offered to process refund. This was a surprise gift for my Sis in law and I am the one surprised as she now has a wall mount only and the surprise is foiled. How can Walmart tell me to request refund and REORDER…Why would i trust them on another order when they got this one messed up. Driver should not have closed out ticket because he took pic of the one item he delivered. Go elsewhere if you want Customer Ser...,0
138,2/12/2024,"I ordered this for next day pick up. All reviews of delivery (of most tvs on Walmart.com) show damage at receipt with little to no resolution from support. I opted to pick up. I ordered it and it showed availability at several locations. I picked one and the next day it informed me that it now wasn't available UNLESS I wanted shipping. I called customer service to where the person argued with me that my card wasn't charged and they immediately cancelled the order. I went on the website, it's still showing pick up today and in stock at the store. Now I have a ten day hold on $300 when I could have just gone to the store myself
To purchase and saved the headache. Do yourself a favor and get this from Target or ANYWHERE else",0
139,2/5/2024,"This is a review for the third party seller (Itronics). I purchased a 65"" Tv  from Walmart's third party seller Itronics. on the day I was supposed to receive it They e-mailed me and told me my order was canceled do to a delay in shipping.  I would have waited but they gave me no choice. I got a great price on this and I believe this is why they canceled this order. Very poor way to business. Wal-mart should step up and take care of this issue.",0
140,2/8/2024,"Disliked. Never received TV on delivery day. Called corporate today. The first person said it was still being delivered but delayed. She wanted to know if i wanted a refund.  I explained to her i ordered the TV for 199.99 and now the price was 399.00 but they would refund what i paid and the difference in the price. she explained that i could reorder the T.V. and it would be here tomorrow. 
She put me on hold and then a man picked up. He was rude and told me they wouldn't refund the price for the TV now. They will refund what i paid in 10 days and i would have to pay the difference even though none of this is my fault. Lost money from work to sit and what on it duy to the app said ot was out for delivery.  This morning it changed saying it ...",0
141,1/24/2024,the tv arrived and the packaging was fine. got it connected and it had large lines down the side. that is a problem with vizio. now i started the return the next day and its been 12 days and still no refund and cannot buy another tv until this one is refunded. i called several times and got absolutly no help. now they gave me a refund date that is more than 2 weeks past the date of delivery. i will never purchase a big ticket item from Walmart again. just waiting for my refund to go to best buy. again Walmart has the worst customer service ever!!!  I wish I couldve picked 0 stars but it forces you to pick at least 1.,0
142,11/22/2023,The driver was very very rude and cursing at my mother and everything. Also he was complaining about bring the tv up to my apartment like that's what I pay for. Also he said that my tv might be messed up because he didn't have help with the tv. I'm very disappointed and the driver needs to be checked because that wasn't right of him to be using foul language at my mother.,0
143,11/28/2023,never order anything from walmart.com again bought a TV package online and they sent everything but the tv called and they said they left the TV out and now it was out of stock had to go to another 15 miles away and get the tv then wouldn't sell it to me for the sales price and was told that they would end up paying  more than i orginaly  would have,0
144,1/19/2024,"We purchased our Vizio 65 inch tv at our Walmart store.  The tv only worked for a little over 2 weeks before the picture went out.  We turned it off and back on but still had no picture, only a lot of verticle colored lines.",0
145,12/29/2023,The TV was great until a couple of days ago. The audio completely stopped working no matter what we did to try and fix it. It is not worth the trouble of loosing audio after only having it for about a year.,0
